gndr,yrbrn,cntry,feethngr,rlgatnd,mbtru,hinctnta,edulvlb,cntbrthd,gincdif,fairelc,dfprtal,gptpelc,medcrgv,rghmgpr,cttresa,gvctzpv,grdfinc,viepol,wpestop,votedir,lnghom1,brncntr,mbrncntc,fbrncntc,freehms,hmsacld,lrnobed,loylead,imdfetn,accalaw,dweight...32,rlgdnm,imueclt,region,lrscale,dweight...37,dweight
1,1986,SI,1,5,3,5,323,6666,2,10,2,9,5,8,10,10,10,5,5,8,SLV,1,6666,6666,2,3,2,2,2,5,1,NA,5,SI042,6,1,1
1,1954,SI,2,7,2,NA,321,6666,1,9,7,9,9,8,9,9,9,9,9,9,SLV,1,6666,6666,3,4,3,4,2,1,1,NA,5,SI042,5,1,1
2,1951,SI,1,6,2,2,321,6666,2,9,5,8,6,6,8,8,8,8,8,8,SLV,1,6666,6666,1,2,2,3,2,2,1,1,5,SI038,NA,1,1
1,1960,SI,1,7,2,8,720,6666,3,10,10,10,10,10,10,10,5,5,5,10,SLV,1,6666,6666,2,3,2,3,2,2,1,NA,1,SI042,5,1,1
1,1949,SI,1,6,2,4,321,6666,1,10,10,10,8,10,10,10,10,10,10,10,SLV,1,6666,6666,3,4,1,2,3,10,1,1,8,SI036,7,1,1
1,1943,SI,1,7,2,3,323,RS,3,7,7,10,8,8,10,8,7,7,7,8,SLV,2,6666,IT,2,2,2,4,3,0,1,NA,6,SI041,2,1,1
2,1991,SI,NA,6,3,NA,720,6666,3,10,10,10,8,10,0,10,7,6,6,10,SLV,1,6666,6666,1,2,3,3,2,1,1,NA,2,SI033,7,1,1
1,1965,SI,1,4,2,4,213,6666,2,10,10,10,10,9,10,10,10,10,7,10,SLV,1,6666,6666,5,4,1,3,4,4,1,1,0,SI041,6,1,1
2,1979,SI,2,6,3,2,323,6666,2,9,5,10,10,8,9,10,10,10,10,8,SLV,1,6666,6666,2,NA,2,3,2,0,1,1,2,SI044,NA,1,1
1,1953,SI,1,7,2,5,520,6666,2,10,8,10,9,9,10,10,10,8,9,10,SLV,1,6666,6666,2,2,4,5,1,0,1,NA,9,SI032,1,1,1
1,1970,SI,2,7,3,NA,620,6666,2,10,10,10,10,10,10,10,10,10,8,10,SLV,1,6666,6666,1,1,3,4,1,0,1,NA,10,SI041,5,1,1
1,1953,SI,1,5,2,6,323,6666,4,10,8,10,5,10,10,10,5,7,7,10,SLV,1,6666,6666,3,5,1,3,3,0,1,1,5,SI042,8,1,1
